name,core_count,core_clock,boost_clock,tdp,graphics,smt
Intel Core i9-10940X,14,3.3,4.8,165,,True
Intel Core i5-4440,4,3.1,3.3,84,Intel HD Graphics 4600,False
Intel Core i5-4670,4,3.4,,84,Intel HD Graphics 4600,False
Intel Celeron E3500,2,2.7,,65,,False
Intel Core i5-8600,6,3.1,4.3,65,Intel UHD Graphics 630,False
Intel Core i9-9900K (Standard Folding Box),8,3.6,5.0,95,Intel UHD Graphics 630,True
AMD Ryzen 3 1300X,4,3.5,3.7,65,,False
Intel Xeon E5-2667 V3,8,3.2,3.6,135,,True
Intel Core i9-11900,8,2.5,5.2,65,Intel UHD Graphics 750,True
AMD FX-9590,8,4.7,5.0,220,,False
Intel Core i5-8500T,6,2.1,3.5,35,Intel UHD Graphics 630,False
AMD Ryzen 3 1200 (12nm),4,3.1,3.4,65,,False
Intel Core i5-2500,4,3.3,,95,Intel HD Graphics 2000,False
Intel Core i3-2100,2,3.1,,65,Intel HD Graphics 2000,True
Intel Core i9-10850KA Avengers Limited Edition,10,3.6,5.2,125,Intel UHD Graphics 630,True
Intel Celeron G3900,2,2.8,,51,Intel HD Graphics 510,False
Intel Core i7-6850K,6,3.6,3.8,140,,True
Intel Core i3-4170,2,3.7,,54,Intel HD Graphics 4400,True
Intel Core i9-7980XE,18,2.6,4.4,165,,True
Intel Xeon E5-2698 V3,16,2.3,3.6,135,,True
Intel Core i3-3220,2,3.3,,55,Intel HD Graphics 2500,True
AMD FX-8370,8,4.0,4.3,125,,False
Intel Celeron G5905,2,3.5,,58,Intel UHD Graphics 610,False
AMD Threadripper 2970WX,24,3.0,4.2,250,,True
Intel Core i7-4820K,4,3.7,3.9,130,,True
Intel Core i7-5930K,6,3.5,3.7,140,,True
AMD Threadripper 2920X,12,3.5,4.3,180,,True
AMD A4-6300,2,3.7,3.9,65,Radeon HD 8370D,False
Intel Core i5-13500T,14,1.6,4.6,35,Intel UHD Graphics 770,True
AMD Athlon X2 340,2,3.2,,65,,False
Intel Pentium G4560,2,3.5,,54,Intel HD Graphics 610,True
Intel Xeon E5-2697 V4,18,2.3,3.6,145,,True
AMD FX-8300,8,3.3,,95,,False
Intel Core i3-2120,2,3.3,,65,Intel HD Graphics 2000,True
Intel Core i7-7820X,8,3.6,4.5,140,,True
Intel Core i5-13600,14,2.7,5.0,65,Intel UHD Graphics 770,True
AMD 5350,4,2.05,,25,Radeon HD 8400,False
Intel Core i3-4160,2,3.6,,54,Intel HD Graphics 4400,True
Intel Core i5-3470S,4,2.9,,65,Intel HD Graphics 2500,False
Intel Core i7-5960X,8,3.0,3.5,140,,True
Intel Core i9-10920X,12,3.5,4.8,165,,True
Intel Xeon E5-2630 V3,8,2.4,3.2,85,,True
Intel Core i5-7400T,4,2.4,3.0,35,Intel HD Graphics 630,False
Intel Pentium G2020,2,2.9,,55,Intel HD Graphics,False
Intel Pentium Gold G5400,2,3.7,,58,Intel UHD Graphics 610,True
Intel Core i9-9980XE,18,3.0,4.4,165,,True
Intel Xeon E5-1650 V3,6,3.5,3.8,140,,True
Intel Xeon E5-2687W V4,12,3.0,3.5,160,,True
Intel Core i7-13700T,16,1.4,4.9,35,,True
AMD FX-6350,6,3.9,,125,,False
Intel Core i7-3930K,6,3.2,,130,,True
Intel Xeon E5-2699 V3,18,2.3,3.6,145,,True
Intel Core i5-3330,4,3.0,,77,Intel HD Graphics 2500,False
Intel Core i7-980X Extreme Edition,6,3.33,,130,,True
Intel Xeon E5-2690 V4,14,2.6,3.5,135,,True
Intel Core i5-10600,6,3.3,4.8,65,Intel UHD Graphics 630,True
Intel Core i5-3450,4,3.1,,77,Intel HD Graphics 2500,False
Intel Xeon E5-2697 V2,12,2.7,3.5,130,,True
Intel Core i3-4370,2,3.8,,54,Intel HD Graphics 4600,True
Intel Core i3-13100T,4,2.5,4.2,35,Intel UHD Graphics 730,True
AMD Ryzen 9 3900,12,3.1,,65,,True
Intel Core i3-7100T,2,3.4,,35,Intel HD Graphics 630,True
AMD A6-9500,2,3.5,3.8,65,Radeon R5 (on die),False
AMD A8-7600,4,3.1,3.8,65,Radeon R7 (on-die),False
Intel Core i7-870,4,2.93,,95,,True
Intel Core 2 Quad Q9550,4,2.83,,95,,False
Intel Core i3-10300,4,3.7,4.4,65,Intel UHD Graphics 630,True
AMD FX-6120,6,3.5,4.1,95,,False
Intel Core i3-530,2,2.93,,73,Intel HD Graphics,True
Intel Core 2 Duo E8500,2,3.16,,65,,False
AMD FX-4300,4,3.8,,95,,False
Intel Core i5-3350P,4,3.1,,69,,False
Intel Core i7-920,4,2.66,,130,,True
Intel Core 2 Quad Q6600,4,2.4,,100,,False
Intel Xeon E3-1231 V3,4,3.4,3.8,80,,True
