name,capacity,rpm,cache,form_factor,interface
Seagate ST2000DM002,2000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Black,1000.0,7200.0,32.0,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,1000.0,7200.0,64.0,3.5,SATA 3.0 Gb/s
Western Digital Red Plus,4000.0,5400.0,128.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,3000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Toshiba MQ01ABD100,1000.0,5400.0,8.0,2.5,SATA 3.0 Gb/s
Samsung Spinpoint M8,1000.0,5400.0,8.0,2.5,SATA 3.0 Gb/s
Seagate Surveillance HDD,3000.0,5900.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Purple,1000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Green,2000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Toshiba N300,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate EXOS Enterprise,14000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red,12000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar He12,12000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,4000.0,5900.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital RE4,1000.0,7200.0,64.0,3.5,SATA 3.0 Gb/s
Toshiba HDKCC00,500.0,7200.0,16.0,2.5,SATA 6.0 Gb/s
Seagate FireCuda,1000.0,,64.0,3.5,SATA 6.0 Gb/s
Toshiba X300 Pro,16000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,2000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Pro,12000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red,14000.0,5400.0,,3.5,SATA 6.0 Gb/s
Western Digital Green,4000.0,5900.0,64.0,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar He10,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate NAS HDD,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Toshiba MD04ACA600,6000.0,7200.0,128.0,3.5,SATA 6.0 Gb/s
Samsung Spinpoint F3,500.0,7200.0,16.0,3.5,SATA 3.0 Gb/s
Seagate IronWolf Pro,12000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital RE,2000.0,7200.0,128.0,3.5,SATA 6.0 Gb/s
Western Digital Black,500.0,7200.0,32.0,2.5,SATA 6.0 Gb/s
Western Digital Red,3000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Toshiba X300 Pro,12000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,6000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,250.0,7200.0,16.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,18000.0,7200.0,,3.5,SATA 6.0 Gb/s
Seagate Exos 7E10 512e/4Kn,6000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,4000.0,7200.0,128.0,3.5,SATA 6.0 Gb/s
