name,socket,form_factor,max_memory,memory_slots
Asus PRIME Z390-A,LGA1151,ATX,128,4
ASRock Z790 Pro RS,LGA1700,ATX,192,4
MSI PRO B760-VC WIFI IV,LGA1700,ATX,256,4
MSI PRO Z790-VC WIFI,LGA1700,ATX,192,4
Asus PRIME A520M-A II/CSM,AM4,Micro ATX,128,4
MSI MPG B650 CARBON WIFI,AM5,ATX,192,4
ASRock B450M/AC,AM4,Micro ATX,64,4
ASRock A520M-ITX/ac,AM4,Mini ITX,64,2
Gigabyte B650M AORUS ELITE AX ICE,AM5,Micro ATX,192,4
MSI Z790 GAMING PRO WIFI,LGA1700,ATX,192,4
Gigabyte B650 UD AC,AM5,ATX,192,4
Asus PRIME B760M-A WIFI D4,LGA1700,Micro ATX,128,4
Gigabyte Z390 AORUS PRO WIFI,LGA1151,ATX,128,4
ASRock B550 Pro4,AM4,ATX,128,4
Gigabyte H610I,LGA1700,Mini ITX,64,2
MSI MAG B660 TOMAHAWK WIFI DDR4,LGA1700,ATX,128,4
MSI MPG Z790 EDGE WIFI,LGA1700,ATX,192,4
Asus PRIME H610I-PLUS D4-CSM,LGA1700,Mini ITX,64,2
ASRock B760M Steel Legend WiFi,LGA1700,Micro ATX,192,4
Asus PRIME B660-PLUS D4,LGA1700,ATX,128,4
MSI MAG B550M MORTAR MAX WIFI,AM4,Micro ATX,128,4
ASRock B760M Pro RS,LGA1700,Micro ATX,192,4
Asus ROG STRIX X570-E GAMING WIFI II,AM4,ATX,128,4
Asus TUF GAMING B550-PLUS,AM4,ATX,128,4
ASRock B650E PG-ITX WIFI,AM5,Mini ITX,96,2
Asus TUF GAMING B650-PLUS,AM5,ATX,128,4
Asus PRIME X670-P,AM5,ATX,192,4
MSI PRO B550M-P GEN3,AM4,Micro ATX,128,4
MSI B450 TOMAHAWK,AM4,ATX,64,4
ASRock B760M PG Riptide,LGA1700,Micro ATX,192,4
Gigabyte B760M AORUS ELITE AX,LGA1700,Micro ATX,192,4
Asus PRIME H510M-K,LGA1200,Micro ATX,64,2
ASRock Z690 PG Riptide,LGA1700,ATX,128,4
MSI Z490-A PRO,LGA1200,ATX,128,4
MSI PRO B760M-A WIFI,LGA1700,Micro ATX,192,4
Asus PRIME H610M-K D4,LGA1700,Micro ATX,64,2
Gigabyte B450M DS3H V2,AM4,Micro ATX,128,4
MSI MEG Z690 ACE,LGA1700,EATX,192,4
ASRock B450 Steel Legend,AM4,ATX,64,4
Supermicro X10SLL-F,LGA1150,Micro ATX,32,4
ASRock B560M-HDV,LGA1200,Micro ATX,64,2
Asus ROG STRIX Z590-E GAMING WIFI,LGA1200,ATX,128,4
MSI MPG Z790 CARBON WIFI,LGA1700,ATX,192,4
Gigabyte B760M C,LGA1700,Micro ATX,192,4
ASRock A520M-HVS,AM4,Micro ATX,64,2
Gigabyte Z790 AORUS MASTER,LGA1700,EATX,192,4
Gigabyte B450 AORUS ELITE V2,AM4,ATX,128,4
Asus ROG CROSSHAIR X670E GENE,AM5,Micro ATX,96,2
